name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
ASKA,20-06-2024,147273,25.0,2986028.0,30.7,79.0,Indie,Thunderful Publishing,Sand Sailor Studio,1898300
SMITE 2,27-08-2024,110462,30.0,2981479.0,8.9,56.0,AA,Hi-Rez Studios,Titan Forge Games,2437170
Legendary Tales,08-02-2024,88603,55.0,2934588.0,7.8,79.0,Indie,Urban Wolf Games Inc.,Urban Wolf Games Inc.,1465070
Visions of Mana,29-08-2024,52728,60.0,2846837.0,12.1,86.0,AA,Square Enix,Square Enix,2490990
Summer Clover,26-06-2024,181429,18.0,2827661.0,8.3,99.0,Indie,"Mango Party,Mango Party News",Connection,2458860
Rabbit and Steel,09-05-2024,213267,15.0,2771018.0,14.0,97.0,Indie,mino_dev,mino_dev,2132850
Drug Dealer Simulator 2,20-06-2024,131611,25.0,2766205.0,25.4,73.0,Indie,Movie Games S.A.,Byterunners,1708850
Expeditions: A MudRunner Game,05-03-2024,75673,40.0,2739562.0,17.6,55.0,AA,Focus Entertainment,Saber Interactive,2477340
Millennia,26-03-2024,77085,40.0,2689142.0,49.3,68.0,AAA,Paradox Interactive,C Prompt Games,1268590
The Lost Village,07-04-2024,312901,12.0,2686565.0,5.5,,Indie,FunYoo Games,FunYoo Games,1963040
Stolen Realm,08-03-2024,181670,20.0,2678385.0,21.7,88.0,Indie,Burst2Flame Entertainment,Burst2Flame Entertainment,1330000
Lost Castle 2,24-07-2024,211121,15.0,2657104.0,12.8,,Indie,Hunter Studio,Hunter Studio,2445690
Mad Island,23-05-2024,155931,20.0,2639042.0,20.1,94.0,Indie,EmadePlus,EmadePlus,2739590
吞食天地2：誕生Reborn,16-02-2024,28202,0.0,2562503.7123580766,239.4,42.0,Indie,Chinesegamer,Chinesegamer,2396910
Still Wakes the Deep,18-06-2024,90219,35.0,2562417.0,3.2,90.0,Indie,Secret Mode,The Chinese Room,1622910
下一站江湖Ⅱ,17-04-2024,136951,25.0,2547970.0,18.8,72.0,Indie,白玉京工作室,白玉京工作室,1606180
Murders on the Yangtze River,30-01-2024,262661,15.0,2512969.0,8.6,98.0,Indie,"OMEGAMES STUDIO,NPC Entertainment",OMEGAMES STUDIO,1746030
FOUNDRY,02-05-2024,97098,30.0,2465573.0,32.4,84.0,AAA,Paradox Interactive,Channel 3 Entertainment,983870
ASTRA: Knights of Veda,01-04-2024,168093,0.0,2460116.0,50.1,42.0,Indie,HYBE IM,FLINT,2484250
Pax Dei,18-06-2024,68881,40.0,2451023.0,69.2,74.0,Indie,"Mainframe Industries,New Tales",Mainframe Industries,1995520
CarX Street,29-08-2024,136133,20.0,2449168.0,7.9,60.0,Indie,"CarX Technologies, LLC","CarX Technologies, LLC",1114150
Cultivation Tales,17-04-2024,201079,20.0,2443731.0,60.0,37.0,Indie,Ac Games,Ac Games,1504570
New Cycle,18-01-2024,106400,30.0,2442964.0,10.6,80.0,AA,Daedalic Entertainment,Core Engage,2198510
The Genesis Order,02-04-2024,173321,15.0,2346551.0,18.6,,Indie,NLT Media,NLT Media,2553870
Killer Klowns from Outer Space: The Game,04-06-2024,64300,40.0,2314221.0,21.2,78.0,Indie,IllFonic Publishing,"IllFonic,Teravision Games",1556100
TopSpin 2K25,25-04-2024,45454,60.0,2299213.0,17.3,49.0,Indie,2K Games,Hangar 13,1785650
SOUTH PARK: SNOW DAY!,26-03-2024,83739,30.0,2265184.0,4.8,53.0,AA,THQ Nordic,Question,1214650
Rail Route,22-02-2024,139096,25.0,2255205.0,20.8,92.0,Indie,Bitrich.info,Bitrich.info,1124180
UNDER NIGHT IN-BIRTH II Sys:Celes,24-01-2024,56781,50.0,2247373.0,32.0,82.0,AA,Arc System Works,"FRENCH-BREAD,Arc System Works",2076010
Jujutsu Kaisen Cursed Clash,01-02-2024,42729,60.0,2207967.0,11.6,55.0,AA,Bandai Namco Entertainment Inc.,Byking Inc.,1877020
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,24-01-2024,137669,0.0,2197863.0,37.1,53.0,Indie,KOEI TECMO GAMES,"KOEI TECMO GAMES,Akatsuki Games Inc.",2594920
BUNNY GARDEN,18-04-2024,102708,25.0,2172825.0,5.9,94.0,Indie,qureate,qureate,2654470
Depersonalization,08-08-2024,164038,20.0,2159417.0,8.6,94.0,AA,Gamera Games,MeowNature,1477070
Gladiator Guild Manager,22-06-2024,288820,15.0,2112751.0,6.3,83.0,Indie,"GrabTheGames,Gamera Games,UpgradePoint",Entertainment Forge,1043260
PANICORE,31-05-2024,485121,5.0,2094731.0,4.1,79.0,Indie,ZTEK Studio,ZTEK Studio,2695940
Terminator: Dark Fate - Defiance,21-02-2024,59124,40.0,2060085.0,27.5,79.0,AA,Slitherine Ltd.,Slitherine Ltd.,1839950
Sword of Convallaria,31-07-2024,236805,0.0,2044690.0,25.0,73.0,Indie,XD,XD,2526380
Goat Simulator 3,15-02-2024,140967,30.0,2033656.0,16.6,97.0,AA,Coffee Stain Publishing,Coffee Stain North,850190
Third Crisis,19-05-2024,116466,25.0,2002691.0,11.3,95.0,Indie,Anduo Games,Anduo Games,1260820
Taxi Life: A City Driving Simulator,07-03-2024,77813,30.0,1998591.0,8.3,56.0,AA,Nacon,Simteract,1351240
The Casting of Frank Stone™,03-09-2024,54672,40.0,1967699.0,4.2,63.0,AA,Behaviour Interactive Inc.,Supermassive Games,2223840
"Knowledge, or know Lady",28-03-2024,409646,7.0,1945765.0,6.8,96.0,Indie,蒸汽满满工作室,蒸汽满满工作室,2786680
Survival: Fountain of Youth,21-05-2024,98313,28.0,1913709.0,40.7,88.0,Indie,"Twin Sails Interactive,CE-Asia",Odinsoft Inc.,1967630
The Crew Motorfest,18-04-2024,56044,70.0,1902618.0,18.2,59.0,AAA,Ubisoft,Ubisoft Ivory Tower,2698940
Crime Boss: Rockay City,18-06-2024,127004,20.0,1900409.0,19.0,73.0,AA,505 Games,INGAME STUDIOS,2933080
Alone in the Dark,20-03-2024,45547,60.0,1898159.0,7.6,78.0,AA,THQ Nordic,Pieces Interactive,1310410
April 24th,23-04-2024,13978,5.0,58819.0,0.7,85.0,Indie,EMIKA_GAMES,NOBODY,2907190
LipTrip ~My Boss Is My Heat Suppressant?!~,14-04-2024,6572,11.0,58776.0,2.2,83.0,Indie,"HUBLOTS,LoveStoryProject",SukeraSomero,2793290
Drive Me Crazy,12-07-2024,5626,13.0,58736.0,6.7,74.0,Indie,Tenth Art Studio,wwqk Studio,2918550
Star Trek Legends,02-09-2024,3937,20.0,58487.0,34.5,69.0,Indie,Tilting Point,Emerald City Games,2765460
Pricolage -IDOLIZED-,19-02-2024,9030,8.0,58380.0,1.1,74.0,Indie,Annulus,HIJIKI,2510890
Beauties! They're All After Me,21-06-2024,9004,9.0,58249.0,11.8,91.0,Indie,Beauties! They're All After Me,Beauties! They're All After Me,2873760
PegIdle,19-06-2024,14308,5.0,58248.0,43.4,79.0,Indie,EagleEye Games,EagleEye Games,2821890
Bulletstorm VR,18-01-2024,1677,40.0,58243.0,1.6,42.0,Indie,People Can Fly,Incuvo,2451320
DIRECT CONTACT,29-02-2024,3373,20.0,58027.0,6.3,32.0,Indie,Mountain 81,Mountain 81,2084450
Leap Year,13-06-2024,12917,5.0,58010.0,1.8,99.0,Indie,"Daniel Linssen,Sokpop Collective",Daniel Linssen,2951770
Alice in the Nightmare Land,07-06-2024,5522,13.0,57974.0,3.2,87.0,Indie,OTAKU Plan,Tsukki's Tea Party,2583430
Dungeon Keeper Gold™,07-03-2024,30374,5.0,57919.0,9.7,95.0,AAA,Electronic Arts,Bullfrog Productions,1996630
Yolk Heroes: A Long Tamago,20-05-2024,8825,8.0,57880.0,39.3,96.0,Indie,"14 Hours Productions,Astrolabe Games",14 Hours Productions,2417850
女神保卫战,24-05-2024,7096,10.0,57683.0,5.1,75.0,Indie,我的同居女神竟是小姨子,我的同居女神竟是小姨子,2933180
子归 - Blossom,18-07-2024,9933,8.0,57614.0,4.0,,Indie,糯米团子工作室,糯米团子工作室,2579280
Leaving DNA,07-03-2024,6061,12.0,57464.0,5.1,87.0,Indie,The Impious Monk,The Impious Monk,2415240
Morimens,01-08-2024,15770,0.0,57436.540278163455,13.4,63.0,Indie,B.I.A.V. Studio,B.I.A.V. Studio,3052450
Haunted House,10-01-2024,11008,9.0,57387.0,4.0,85.0,Indie,Genuine Studio,Genuine Studio,2376540
Crawling Lab,16-06-2024,13940,5.0,57371.0,7.9,83.0,Indie,eTIRUe,eTIRUe,2637070
KAMITSUBAKI CITY ENSEMBLE,28-08-2024,17421,4.0,57163.0,3.6,62.0,Indie,"KAMITSUBAKI STUDIO,Studio Lalala","KAMITSUBAKI STUDIO,Studio Lalala",2581050
Commando Collection,26-07-2024,13988,5.0,57114.0,2.2,99.0,Indie,Macrojoy,Macrojoy,3059010
Story Of Eve 2,25-04-2024,6937,10.0,57000.0,2.4,82.0,Indie,"Mango Party,Mango Party News",SmallSqurriel,1959520
Incubus Quest,12-01-2024,4931,15.0,56928.0,4.0,79.0,Indie,Kagura Games,SweetRaspberry,2429890
Mashiroiro Symphony HD -Sana Edition-,01-05-2024,3374,30.0,56826.0,15.6,88.0,Indie,Shiravune,Palette,2737980
"Magical Mic Duel: Senpai, Hear My Spell",23-05-2024,12868,7.0,56611.0,0.7,92.0,Indie,ReLU Games,ReLU Games,2696400
EXIT KUN,04-02-2024,31148,3.0,56542.0,1.7,85.0,Indie,AIKUN,"IKUN&KUN,AIKUN",2781370
Space industrial empire,24-05-2024,12991,6.0,56264.0,185.9,83.0,Indie,游戏养家工作室,游戏养家工作室,2423620
Flock,16-07-2024,3422,20.0,56222.0,5.1,95.0,AA,Annapurna Interactive,"Hollow Ponds,Richard Hogg",1472930
USC: Counterforce,18-07-2024,4557,20.0,56116.0,12.6,76.0,Indie,Firesquid,"Angry Cat Studios,Creatio 49",1574870
Rack and Slay,27-05-2024,11532,6.0,56109.0,9.0,94.0,Indie,2 Left Thumbs,Ludokultur,2311990
Gordian Rooms 2: A curious island,19-01-2024,2891,25.0,56094.0,14.6,74.0,Indie,Crimsonite Games,Crimsonite Games,1528220
Honeymoon : Mystery Journey,04-04-2024,6849,10.0,56018.0,1.6,86.0,Indie,"Mango Party,Mango Party News",Gentleman.LTD,2483970
Hauntii,23-05-2024,3825,20.0,55934.0,6.0,90.0,Indie,Firestoke,Moonloop Games,2060790
Arranger: A Role-Puzzling Adventure,25-07-2024,3400,20.0,55837.0,4.0,95.0,Indie,Furniture & Mattress LLC,Furniture & Mattress LLC,2596420
Secrets of the Heartbeat,07-06-2024,13018,10.0,55727.0,2.6,89.0,Indie,RainbowGame,RainbowGame,2774190
"Kingdom, Dungeon, and Hero",01-07-2024,2158,30.0,55543.0,13.4,84.0,Indie,Kraken Studios,Kraken Studios,2572400
ReRoad,26-06-2024,4185,15.0,55440.0,5.1,78.0,Indie,Rabbithole Games,Rabbithole Games,1304130
